LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL,month,doy,period,lakeid,fui,season
1_2_LE07_024030_20000307,111106,2000-03-07,-99,369,301,444,174,86,44.5,2819,-99,l7,64,0,2000,521,Mar,67,"(1999,2002]",WI,7,NA
1_2_LE07_024030_20000408,111106,2000-04-08,-99,947,607,914,345,69,48,2784,-99,l7,64,0,2000,493,Apr,99,"(1999,2002]",WI,5,Spring (am)
1_2_LE07_024030_20000424,111106,2000-04-24,-99,314,278,417.5,208,86,44,2836,-99,l7,64,0,2000,538,Apr,115,"(1999,2002]",WI,8,Spring (am)
1_2_LE07_024030_20000627,111106,2000-06-27,-99,517,632,926,388,227,186,2934,-99,l7,64,0,2000,556,Jun,179,"(1999,2002]",WI,9,Summer (jja)
1_2_LE07_024030_20000713,111106,2000-07-13,-99,333,405,651,208,71,62,2955,-99,l7,64,0,2000,555,Jul,195,"(1999,2002]",WI,9,Summer (jja)
1_2_LE07_024030_20000915,111106,2000-09-15,-99,362.5,481,744,243,72,50,2902,-99,l7,64,0,2000,557,Sep,259,"(1999,2002]",WI,9,Fall (so)
1_2_LE07_024030_20001017,111106,2000-10-17,-99,461,380.5,588,215,55,29,2830,-99,l7,64,0,2000,528,Oct,291,"(1999,2002]",WI,7,Fall (so)
1_2_LE07_024030_20001102,111106,2000-11-02,-99,320,318,537,152,34,37,2847,-99,l7,64,0,2000,548,Nov,307,"(1999,2002]",WI,8,NA
1_2_LE07_024030_20010427,111106,2001-04-27,-99,360,358,585,177,88,69,2870,-99,l7,64,0,2001,548,Apr,117,"(1999,2002]",WI,8,Spring (am)
1_2_LE07_024030_20010513,111106,2001-05-13,-99,501,504,817,356,139,85,2886,-99,l7,64,0,2001,549,May,133,"(1999,2002]",WI,8,Spring (am)
1_2_LE07_024030_20010630,111106,2001-06-30,-99,657,725,984,743,304,199,2934,-99,l7,64,0,2001,555,Jun,181,"(1999,2002]",WI,9,Summer (jja)
1_2_LE07_024030_20010716,111106,2001-07-16,-99,650,683,945,467,119,78,2945,-99,l7,64,0,2001,553,Jul,197,"(1999,2002]",WI,9,Summer (jja)
1_2_LE07_024030_20010817,111106,2001-08-17,-99,257,326,519,187,54,41,2929,-99,l7,64,0,2001,556,Aug,229,"(1999,2002]",WI,9,Summer (jja)
1_2_LE07_024030_20010902,111106,2001-09-02,-99,315,390,626,172,36,19,2934,-99,l7,64,0,2001,555,Sep,245,"(1999,2002]",WI,9,Fall (so)
1_2_LE07_024030_20011105,111106,2001-11-05,-99,335,421,493,156,35,38,2807,-99,l7,64,0,2001,563,Nov,309,"(1999,2002]",WI,10,NA
1_2_LE07_024030_20011121,111106,2001-11-21,-99,361,509,620,185,40,-1,2796,-99,l7,64,0,2001,563,Nov,325,"(1999,2002]",WI,10,NA
1_2_LE07_024030_20011207,111106,2001-12-07,-99,409,383,590,153,45,25,2772,-99,l7,64,0,2001,544,Dec,341,"(1999,2002]",WI,8,NA
1_2_LE07_024030_20020703,111106,2002-07-03,-99,437,551,705,426,181,133,2955,-99,l7,64,0,2002,560,Jul,184,"(1999,2002]",WI,10,Summer (jja)
1_2_LE07_024030_20020719,111106,2002-07-19,-99,1308,1057,1380,1190,330,166,2939,-99,l7,64,0,2002,504,Jul,200,"(1999,2002]",WI,6,Summer (jja)
1_2_LE07_024030_20020905,111106,2002-09-05,-99,205,268,471,144,15,21,2950,-99,l7,64,0,2002,555,Sep,248,"(1999,2002]",WI,9,Fall (so)
