lakeid,year4,sampledate,chl_use,method_used
WI,1997,1997-06-12,5.766666666666667,spec
WI,1997,1997-06-24,12.566666666666666,spec
WI,1997,1997-07-08,27.22,spec
WI,1998,1998-06-24,14.950000000000001,spec
WI,1998,1998-07-07,26.9,spec
WI,1998,1998-07-24,20.1,spec
WI,1998,1998-08-07,37.6,spec
WI,1998,1998-08-19,18.3,spec
WI,1999,1999-06-08,28.2,uncorrect_fluor
WI,1999,1999-06-22,17.4,uncorrect_fluor
WI,1999,1999-07-09,43.25,uncorrect_fluor
WI,1999,1999-07-19,46.2,uncorrect_fluor
WI,1999,1999-08-03,27.6,correct_fluor
WI,1999,1999-08-17,36.3,uncorrect_fluor
WI,1999,1999-08-31,23.799999999999997,correct_fluor
WI,2000,2000-06-05,10.4,correct_fluor
WI,2000,2000-06-20,11.2,correct_fluor
WI,2000,2000-07-04,12.633333333333333,correct_fluor
WI,2000,2000-07-18,11.15,correct_fluor
WI,2000,2000-08-01,23.966666666666665,correct_fluor
WI,2000,2000-08-14,22.15,correct_fluor
WI,2000,2000-08-29,9.799999999999999,correct_fluor
WI,2001,2001-06-06,31,correct_fluor
WI,2001,2001-06-18,16.15,correct_fluor
WI,2001,2001-07-03,20.2,correct_fluor
WI,2001,2001-07-16,17.799999999999997,correct_fluor
WI,2001,2001-08-01,15.966666666666667,correct_fluor
WI,2001,2001-08-15,27.950000000000003,correct_fluor
WI,2001,2001-08-28,21.833333333333332,correct_fluor
WI,2002,2002-06-06,NA,NA
WI,2002,2002-06-20,NA,NA
WI,2002,2002-07-03,NA,NA
WI,2002,2002-07-12,NA,NA
WI,2002,2002-07-18,NA,NA
WI,2002,2002-07-31,NA,NA
WI,2002,2002-08-15,NA,NA
WI,2002,2002-08-28,NA,NA
WI,2003,2003-06-12,NA,NA
WI,2003,2003-06-25,NA,NA
WI,2003,2003-07-10,NA,NA
WI,2003,2003-07-21,NA,NA
WI,2003,2003-08-07,NA,NA
WI,2003,2003-08-22,NA,NA
WI,2004,2004-06-10,NA,NA
WI,2004,2004-06-24,NA,NA
WI,2004,2004-07-09,NA,NA
WI,2004,2004-07-22,NA,NA
WI,2004,2004-08-04,NA,NA
WI,2004,2004-08-18,NA,NA
WI,2005,2005-06-08,6.666666666666666,correct_fluor
WI,2005,2005-06-22,9.899999999999999,correct_fluor
WI,2005,2005-07-06,11.8,correct_fluor
WI,2005,2005-07-22,16.1,correct_fluor
WI,2005,2005-08-04,10.033333333333333,correct_fluor
WI,2005,2005-08-16,7.300000000000001,correct_fluor
WI,2005,2005-08-31,3.566666666666667,correct_fluor
WI,2006,2006-06-01,6.05,correct_fluor
WI,2006,2006-06-14,12.9,correct_fluor
WI,2006,2006-06-28,19.450000000000003,correct_fluor
WI,2006,2006-07-12,28.4,correct_fluor
WI,2006,2006-07-26,25.4,correct_fluor
WI,2006,2006-08-09,40.233333333333334,correct_fluor
WI,2006,2006-08-22,14.7,correct_fluor
WI,2007,2007-06-13,6.733333333333333,correct_fluor
WI,2007,2007-06-26,10.850000000000001,correct_fluor
WI,2007,2007-07-11,16.666666666666668,correct_fluor
WI,2007,2007-07-24,12.8,correct_fluor
WI,2007,2007-08-08,12.466666666666667,correct_fluor
WI,2007,2007-08-21,12.9,correct_fluor
WI,2008,2008-06-11,16.566666666666666,correct_fluor
WI,2008,2008-06-25,6.800000000000001,correct_fluor
WI,2008,2008-07-09,7.4,correct_fluor
WI,2008,2008-07-22,3.5,correct_fluor
WI,2008,2008-08-06,6.666666666666667,correct_fluor
WI,2008,2008-08-19,4.15,correct_fluor
WI,2009,2009-06-11,8.733333333333333,correct_fluor
WI,2009,2009-06-22,11.4,correct_fluor
WI,2009,2009-07-07,9.633333333333333,correct_fluor
WI,2009,2009-07-21,14.5,correct_fluor
WI,2009,2009-08-03,10.1,correct_fluor
WI,2009,2009-08-17,12.05,correct_fluor
WI,2009,2009-08-31,7.3,correct_fluor
WI,2010,2010-06-10,12.166666666666666,correct_fluor
