latitude,longitude,comments,rake,rake2
43.04994355,-89.43108256,sampled,1,1
43.05183023,-89.4302056,sampled,1,1
43.05025229,-89.42979045,sampled,1,1
43.04930038,-89.42851003,sampled,1,1
43.05056102,-89.42849833,sampled,1,1
43.05434293,-89.42846321,sampled,1,1
43.04929178,-89.42679113,sampled,1,1
43.05023511,-89.42635259,sampled,1,1
43.05464734,-89.42631146,sampled,1,1
43.05526903,-89.42458652,sampled,1,1
43.05022216,-89.42377419,sampled,1,1
43.05053515,-89.42334151,sampled,1,1
43.05083946,-89.42118987,sampled,1,1
43.05052213,-89.4207631,sampled,1,1
43.05083511,-89.4203304,sampled,1,1
43.05619064,-89.41985016,sampled,1,1
43.05618628,-89.41899062,sampled,1,1
43.05744255,-89.41811915,sampled,1,1
43.059003,-89.4150957,sampled,1,1
43.05049152,-89.41474683,sampled,1,1
43.05112184,-89.41474084,sampled,1,1
43.05174776,-89.41387536,sampled,1,1
43.05710325,-89.41339455,sampled,1,1
43.05773357,-89.41338854,sampled,1,1
43.0589942,-89.41337653,sampled,1,1
43.05741621,-89.41296177,sampled,1,1
43.05205189,-89.41172364,sampled,1,1
43.05519905,-89.41083398,sampled,1,1
43.0517301,-89.41043742,sampled,1,1
43.05425137,-89.41041327,sampled,1,1
43.05519463,-89.40997445,sampled,1,1
43.05582494,-89.40996841,sampled,1,1
43.05708558,-89.40995632,sampled,1,1
43.0567682,-89.40952956,sampled,1,1
43.05770702,-89.40823114,sampled,1,1
43.05089116,-89.43150356,sampled,2,2
43.05183451,-89.43106508,sampled,2,2
43.05309087,-89.43019393,sampled,2,2
43.05340389,-89.42976125,sampled,2,2
43.04993499,-89.42936364,sampled,2,2
43.05119563,-89.42935195,sampled,2,2
43.0537169,-89.42932858,sampled,2,2
43.04898737,-89.42894268,sampled,2,2
43.05433864,-89.42760369,sampled,2,2
43.04897878,-89.42722378,sampled,2,2
43.0496091,-89.42721792,sampled,2,2
43.05465165,-89.42717099,sampled,2,2
43.0499178,-89.4259258,sampled,2,2
43.05496035,-89.42587876,sampled,2,2
43.05495603,-89.42501923,sampled,2,2
43.05022648,-89.42463366,sampled,2,2
43.05053948,-89.42420098,sampled,2,2
43.0552647,-89.42372698,sampled,2,2
43.05084814,-89.42290882,sampled,2,2
43.05084381,-89.42204935,sampled,2,2
43.05020914,-89.4211958,sampled,2,2
43.05588201,-89.42114245,sampled,2,2
43.05619499,-89.42070971,sampled,2,2
43.05020479,-89.42033634,sampled,2,2
43.0568166,-89.41898467,sampled,2,2
43.05807286,-89.41811319,sampled,2,2
43.05775552,-89.41768639,sampled,2,2
43.05900739,-89.41595528,sampled,2,2
43.05080448,-89.4143141,sampled,2,2
43.0514348,-89.4143081,sampled,2,2
43.05962892,-89.41423011,sampled,2,2
43.05048712,-89.41388736,sampled,2,2
43.05080008,-89.41345463,sampled,2,2
43.05048272,-89.4130279,sampled,2,2
43.05111303,-89.41302189,sampled,2,2
43.05079126,-89.41173569,sampled,2,2
43.05299516,-89.41128485,sampled,2,2
43.05141715,-89.41087018,sampled,2,2
43.05582937,-89.41082795,sampled,2,2
43.05740295,-89.41038308,sampled,2,2
43.05204304,-89.41000466,sampled,2,2
43.05393399,-89.40998653,sampled,2,2
43.05550757,-89.40954166,sampled,2,2
43.05582051,-89.40910887,sampled,2,2
43.05645082,-89.40910281,sampled,2,2
43.05739408,-89.40866395,sampled,2,2
43.05801995,-89.40779833,sampled,2,2
43.05152148,-89.43149774,sampled,3,3
43.05057387,-89.43107674,sampled,3,3
43.05120419,-89.43107091,sampled,3,3
43.05246483,-89.43105926,sampled,3,3
43.04962625,-89.43065575,sampled,3,3
43.05025657,-89.43064992,sampled,3,3
43.05088689,-89.43064409,sampled,3,3
43.05151721,-89.43063826,sampled,3,3
43.05214753,-89.43063243,sampled,3,3
43.05277785,-89.43062659,sampled,3,3
43.04930895,-89.43022894,sampled,3,3
43.04993927,-89.4302231,sampled,3,3
43.05056959,-89.43021727,sampled,3,3
43.05119991,-89.43021143,sampled,3,3
43.05246055,-89.43019976,sampled,3,3
43.04962197,-89.42979629,sampled,3,3
43.05088261,-89.42978461,sampled,3,3
43.05277357,-89.42976709,sampled,3,3
43.05056531,-89.4293578,sampled,3,3
43.04961769,-89.42893683,sampled,3,3
43.050248,-89.42893099,sampled,3,3
43.05402992,-89.42889589,sampled,3,3
43.04898307,-89.42808323,sampled,3,3
43.04961339,-89.42807738,sampled,3,3
43.05402563,-89.42803638,sampled,3,3
43.05465595,-89.42803052,sampled,3,3
43.04929609,-89.42765058,sampled,3,3
43.0499221,-89.42678526,sampled,3,3
43.04960479,-89.42635846,sampled,3,3
43.0502308,-89.42549312,sampled,3,3
43.04991348,-89.42506634,sampled,3,3
43.0505438,-89.42506045,sampled,3,3
43.05085248,-89.42376829,sampled,3,3
43.05526037,-89.42286745,sampled,3,3
43.05052648,-89.42162257,sampled,3,3
43.05051778,-89.41990364,sampled,3,3
43.05650362,-89.41941742,sampled,3,3
43.05649925,-89.41855787,sampled,3,3
43.05712957,-89.41855191,sampled,3,3
43.05681223,-89.41812511,sampled,3,3
43.05019171,-89.41775795,sampled,3,3
43.0571252,-89.41769235,sampled,3,3
43.05838584,-89.41768042,sampled,3,3
43.05901615,-89.41767446,sampled,3,3
43.05743817,-89.41725959,sampled,3,3
43.05806849,-89.41725362,sampled,3,3
43.05775114,-89.41682682,sampled,3,3
43.05743379,-89.41640002,sampled,3,3
43.05806411,-89.41639404,sampled,3,3
43.05774676,-89.41596725,sampled,3,3
43.05774237,-89.41510768,sampled,3,3
43.05773797,-89.41424811,sampled,3,3
43.05111744,-89.41388136,sampled,3,3
43.0514304,-89.41344862,sampled,3,3
43.05079567,-89.41259516,sampled,3,3
43.05142599,-89.41258914,sampled,3,3
43.05772916,-89.41252898,sampled,3,3
43.05047831,-89.41216843,sampled,3,3
43.05110862,-89.41216241,sampled,3,3
43.05173894,-89.41215639,sampled,3,3
43.05741179,-89.4121022,sampled,3,3
43.05142157,-89.41172966,sampled,3,3
43.05047389,-89.41130897,sampled,3,3
43.05110421,-89.41130294,sampled,3,3
43.05173452,-89.41129691,sampled,3,3
43.05236484,-89.41129088,sampled,3,3
43.05362547,-89.41127882,sampled,3,3
43.05078684,-89.41087622,sampled,3,3
43.05204747,-89.41086415,sampled,3,3
43.05267779,-89.41085812,sampled,3,3
43.0533081,-89.41085208,sampled,3,3
43.05393842,-89.41084605,sampled,3,3
43.05456874,-89.41084001,sampled,3,3
43.05236042,-89.41043139,sampled,3,3
43.05299073,-89.41042535,sampled,3,3
43.05362105,-89.41041931,sampled,3,3
43.05488168,-89.41040723,sampled,3,3
43.055512,-89.4104012,sampled,3,3
43.05267336,-89.40999862,sampled,3,3
43.05330368,-89.40999258,sampled,3,3
43.05456431,-89.40998049,sampled,3,3
43.05613788,-89.40953561,sampled,3,3
43.05708114,-89.40909676,sampled,3,3
43.05771146,-89.40909071,sampled,3,3
43.0521518,-89.43149192,NONNAVIGABLE (PLANTS),3,8
43.05278212,-89.4314861,NONNAVIGABLE (PLANTS),3,8
43.05341244,-89.43148027,NONNAVIGABLE (PLANTS),3,8
43.04868291,-89.43109421,NONNAVIGABLE (PLANTS),3,8
43.05372546,-89.4310476,NONNAVIGABLE (PLANTS),3,8
43.04899593,-89.43066158,NONNAVIGABLE (PLANTS),3,8
43.05403849,-89.43061493,NONNAVIGABLE (PLANTS),3,8
43.05435151,-89.43018225,NONNAVIGABLE (PLANTS),3,8
43.04899165,-89.42980213,NONNAVIGABLE (PLANTS),3,8
43.05466453,-89.42974957,NONNAVIGABLE (PLANTS),3,8
43.05245627,-89.42934026,DEEP,0,9
43.04835705,-89.42894853,DEEP,0,9
43.05213896,-89.42891344,DEEP,0,9
43.05276928,-89.42890759,DEEP,0,9
43.05182166,-89.42848662,DEEP,0,9
43.05245198,-89.42848077,DEEP,0,9
43.0530823,-89.42847492,DEEP,0,9
43.05087403,-89.42806566,DEEP,0,9
43.05150435,-89.42805981,DEEP,0,9
43.05213467,-89.42805395,DEEP,0,9
43.05276499,-89.42804809,DEEP,0,9
43.05339531,-89.42804223,DEEP,0,9
43.05055672,-89.42763886,DEEP,0,9
43.05118704,-89.427633,DEEP,0,9
43.05181736,-89.42762713,DEEP,0,9
43.05244768,-89.42762127,DEEP,0,9
43.053078,-89.42761541,DEEP,0,9
43.05086973,-89.42720619,DEEP,0,9
43.05150005,-89.42720032,DEEP,0,9
43.05213037,-89.42719446,DEEP,0,9
43.05276069,-89.42718859,DEEP,0,9
